ID,Name,Dex,Set,Era,Rarity,Artist,Image URL (High Res),TCGPlayer Market Link
sv6pt5-92,Fezandipiti ex,,Shrouded Fable,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv6pt5/92_hires.png,https://prices.pokemontcg.io/tcgplayer/sv6pt5-92
sv3-226,Geeta,,Obsidian Flames,Scarlet & Violet,Special Illustration Rare,DOM,https://images.pokemontcg.io/sv3/226_hires.png,https://prices.pokemontcg.io/tcgplayer/sv3-226
sv2-267,Giacomo,,Paldea Evolved,Scarlet & Violet,Special Illustration Rare,KIYOTAKA OSHIYAMA,https://images.pokemontcg.io/sv2/267_hires.png,https://prices.pokemontcg.io/tcgplayer/sv2-267
sv3pt5-204,Giovanni's Charisma,,151,Scarlet & Violet,Special Illustration Rare,Hideki Ishikawa,https://images.pokemontcg.io/sv3pt5/204_hires.png,https://prices.pokemontcg.io/tcgplayer/sv3pt5-204
sv5-204,Gouging Fire ex,,Temporal Forces,Scarlet & Violet,Special Illustration Rare,Teeziro,https://images.pokemontcg.io/sv5/204_hires.png,https://prices.pokemontcg.io/tcgplayer/sv5-204
sv2-268,Grusha,,Paldea Evolved,Scarlet & Violet,Special Illustration Rare,DOM,https://images.pokemontcg.io/sv2/268_hires.png,https://prices.pokemontcg.io/tcgplayer/sv2-268
sv6-212,Hearthflame Mask Ogerpon ex,,Twilight Masquerade,Scarlet & Violet,Special Illustration Rare,Yano Keiji,https://images.pokemontcg.io/sv6/212_hires.png,https://prices.pokemontcg.io/tcgplayer/sv6-212
rsv10pt5-171,Hilda,,White Flare,Scarlet & Violet,Special Illustration Rare,Naoki Saito,https://images.pokemontcg.io/rsv10pt5/171_hires.png,https://prices.pokemontcg.io/tcgplayer/rsv10pt5-171
sv7-167,Hydrapple ex,,Stellar Crown,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv7/167_hires.png,https://prices.pokemontcg.io/tcgplayer/sv7-167
sv2-269,Iono,,Paldea Evolved,Scarlet & Violet,Special Illustration Rare,kirisAki,https://images.pokemontcg.io/sv2/269_hires.png,https://prices.pokemontcg.io/tcgplayer/sv2-269
sv4pt5-237,Iono,,Paldean Fates,Scarlet & Violet,Special Illustration Rare,hanabushi,https://images.pokemontcg.io/sv4pt5/237_hires.png,https://prices.pokemontcg.io/tcgplayer/sv4pt5-237
me2pt5-292,Iris's Fighting Spirit,,Ascended Heroes,Mega Evolution,Special Illustration Rare,Kuroimori,https://images.scrydex.com/pokemon/me2pt5-292/large,https://prices.pokemontcg.io/tcgplayer/me2pt5-292
sv5-207,Iron Boulder ex,,Temporal Forces,Scarlet & Violet,Special Illustration Rare,nagimiso,https://images.pokemontcg.io/sv5/207_hires.png,https://prices.pokemontcg.io/tcgplayer/sv5-207
sv8pt5-158,Iron Crown ex,,Prismatic Evolutions,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv8pt5/158_hires.png,https://prices.pokemontcg.io/tcgplayer/sv8pt5-158
sv5-206,Iron Crown ex,,Temporal Forces,Scarlet & Violet,Special Illustration Rare,nagimiso,https://images.pokemontcg.io/sv5/206_hires.png,https://prices.pokemontcg.io/tcgplayer/sv5-206
sv8pt5-154,Iron Hands ex,,Prismatic Evolutions,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv8pt5/154_hires.png,https://prices.pokemontcg.io/tcgplayer/sv8pt5-154
sv8pt5-157,Iron Valiant ex,,Prismatic Evolutions,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv8pt5/157_hires.png,https://prices.pokemontcg.io/tcgplayer/sv8pt5-157
